train_0,train_1,train_2,train_3,train_4,valid_0,valid_1,valid_2,valid_3,valid_4,test_0,test_1,test_2,test_3,test_4,
0,0,-0.216227312,0.183276901,-0.037668734,0.235627193,-2.111698623,0,0,0,0,0,0,0,0,0
1,0,0.038081732,-0.248716822,-0.02235692,-0.651643515,-0.556753283,0,0,0,0,0,0,0,0,0
2,0,-1.710152769,-1.14513063,-2.336714439,-2.490588682,-2.125607505,0,0,0,0,0,0,0,0,0
3,0,-1.070327573,-1.186166954,-1.787410173,-2.249377279,-2.461931231,0,0,0,0,0,0,0,0,0
4,0,-0.332749195,1.145551252,-0.202990179,0.10955224,-2.603329825,0,0,0,0,0,0,0,0,0
5,0,-2.41696187,-0.875848188,-1.622747183,-1.657455654,-1.227853131,0,0,0,0,0,0,0,0,0
6,0,1.042639914,1.098644161,0.111425552,0.518321743,-0.909207687,0,0,0,0,0,0,0,0,0
7,0,-2.349216285,-0.958212333,-1.803052192,-2.144350595,-2.496972351,0,0,0,0,0,0,0,0,0
8,0,-2.325871243,-1.278501372,-2.157851267,-2.005336261,-2.666180792,0,0,0,0,0,0,0,0,0
9,0,-1.493319545,-1.008426361,-1.554755459,-1.306121678,-0.588053741,0,0,0,0,0,0,0,0,0
10,0,-0.990544267,-1.602300868,-1.905433521,-2.45459028,-2.320157075,0,0,0,0,0,0,0,0,0
11,0,0.248646145,0.150886316,-1.108639169,-0.697302513,-2.560660951,0,0,0,0,0,0,0,0,0
12,0,-0.160948772,-0.303369751,-0.175812492,-0.809124498,-0.635023003,0,0,0,0,0,0,0,0,0
13,0,-1.053949876,-1.63362205,-2.59578301,-2.315672622,-2.635658045,0,0,0,0,0,0,0,0,0
14,0,-1.724802413,-1.155131402,-2.343507395,-2.51059922,-2.13515686,0,0,0,0,0,0,0,0,0
15,0,-2.706988378,-2.1728405,-2.925031571,-1.752995739,-1.417871523,0,0,0,0,0,0,0,0,0
16,0,-0.479328527,0.099121752,-0.458431187,-1.336231914,-2.778289483,0,0,0,0,0,0,0,0,0
17,0,-1.530771708,-0.744706182,-1.840829282,-1.407807016,-0.511736317,0,0,0,0,0,0,0,0,0
18,0,-0.670656986,-0.300777378,-1.595408401,-1.291152191,-1.82346097,0,0,0,0,0,0,0,0,0
19,0,-0.96057714,-1.62127387,-3.330186952,-0.437969427,-3.172516379,0,0,0,0,0,0,0,0,0
20,0,-0.894548464,0.573521299,-0.735036983,-1.82275579,-0.694234285,0,0,0,0,0,0,0,0,0
21,0,-1.084307423,0.067619143,-1.910355902,-1.494513288,-2.4467115,0,0,0,0,0,0,0,0,0
22,0,-1.375684662,-0.770809188,-1.990862179,-1.131562901,-2.41758357,0,0,0,0,0,0,0,0,0
23,0,-0.875380349,-0.649887896,-2.438810139,-1.362902269,-1.029503956,0,0,0,0,0,0,0,0,0
24,0,-0.880417686,0.148381529,-2.095787396,-1.077154155,-2.24727386,0,0,0,0,0,0,0,0,0
25,0,-1.696949458,-0.085105639,-2.1270859,-1.663874612,-3.051400561,0,0,0,0,0,0,0,0,0
26,0,-1.352409024,-1.456673245,-1.427909636,-2.180380473,-1.894232945,0,0,0,0,0,0,0,0,0
27,0,-2.377113423,-2.339102511,-3.288648918,-2.386875877,-1.930101337,0,0,0,0,0,0,0,0,0
28,0,-0.242772741,-0.455431776,-1.109899774,-0.628538942,-0.705837402,0,0,0,0,0,0,0,0,0
29,0,-1.279607921,-1.156093864,-1.732694879,-2.030287948,-2.299412618,0,0,0,0,0,0,0,0,0
30,0,-0.654125233,-0.146281338,-1.18004653,-1.18567585,-2.570189388,0,0,0,0,0,0,0,0,0
31,0,-1.488665004,-0.356383581,-1.54105557,-1.221327624,-2.235622063,0,0,0,0,0,0,0,0,0
32,0,-2.491454663,-1.560822706,-3.044877009,-2.041273274,-2.041630263,0,0,0,0,0,0,0,0,0
33,0,-1.883566289,-0.232930326,-2.106451902,-1.202571435,-2.024691863,0,0,0,0,0,0,0,0,0
34,0,-1.496782689,-0.758649473,-2.093579578,-2.03267602,-2.052845111,0,0,0,0,0,0,0,0,0
35,0,-1.28320518,-1.037412453,-1.910553946,-1.910309176,-1.119143558,0,0,0,0,0,0,0,0,0
36,0,-1.445211282,0.187336721,-2.276828475,-1.475078311,-0.396741314,0,0,0,0,0,0,0,0,0
37,0,-1.385334115,-1.402522564,-2.295250549,-1.523656955,-1.740708752,0,0,0,0,0,0,0,0,0
38,0,-2.10673069,-0.787479749,-2.189236183,-2.246735835,-1.799547601,0,0,0,0,0,0,0,0,0
39,0,-1.227822437,0.460671749,-1.404815035,-1.812325106,-2.477706094,0,0,0,0,0,0,0,0,0
40,0,-2.590629447,-1.205309849,-1.683754749,-2.586010389,-0.855292001,0,0,0,0,0,0,0,0,0
41,0,-0.71990777,-0.396594296,-1.237265048,-1.802080345,-2.542036433,0,0,0,0,0,0,0,0,0
42,0,-2.479674811,-1.785535493,-1.001162047,-2.24407836,-2.515946918,0,0,0,0,0,0,0,0,0
43,0,-1.755247741,-1.319332223,-2.5633674,-2.219837914,-2.228000174,0,0,0,0,0,0,0,0,0
44,0,-1.816291084,-1.932970934,-2.295252504,-2.365175605,-2.649819419,0,0,0,0,0,0,0,0,0
45,0,-0.594692249,-0.147776155,-0.627604437,-0.312260456,-1.323292336,0,0,0,0,0,0,0,0,0
46,0,-3.070324688,-1.987843218,-3.190751357,-2.817703815,-3.5554014,0,0,0,0,0,0,0,0,0
47,0,-1.032953806,-0.902654614,-2.43142911,-1.874111557,-0.836017141,0,0,0,0,0,0,0,0,0
48,0,-1.932195373,-1.099885316,-2.879449503,-2.229471922,-1.268077922,0,0,0,0,0,0,0,0,0
